YEAR,MO,DY,T2M,TS,PRECTOTCORR,PS,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,QV2M,WS10M,WS50M
2001,2,12,13.3,13.38,0.01,74.61,5.75,6.17,0.67,285.31,102.16,109.97,13.47,0.37,1.9,5.68,1.16,1.69
2001,2,13,13.85,13.8,0,74.65,6.34,6.34,0.74,263.05,110.66,111.25,14.7,0.39,2.02,4.82,1.1,1.68
2001,2,14,13.71,13.98,0,74.52,6.36,6.39,0.74,268.63,112.16,113.22,14.99,0.41,2.11,4.52,1.99,3.07
2001,2,15,13.15,13.99,0,74.41,6.3,6.53,0.73,272.05,112.22,116.74,15.09,0.41,2.13,5.62,2.56,4.05
2001,2,16,13.62,14.58,0.03,74.6,6.16,6.51,0.71,285.03,110.25,116.98,14.87,0.42,2.18,6.23,2.43,3.45
2001,2,17,12.38,13.87,0.07,74.84,5.17,6.17,0.59,309.84,92.76,110.12,12.56,0.37,1.9,6.41,1.85,2.28
2001,2,18,11.48,12.34,0.04,74.79,6.39,6.74,0.73,291.96,114.32,120.9,15.62,0.46,2.43,4.15,1.14,1.75
2001,2,19,13.19,13.51,0.01,74.7,5.26,6.69,0.6,299.45,95.06,121.18,13.09,0.37,1.91,5.25,0.98,1.49
2001,2,20,13.63,14.4,0,74.74,6.19,6.2,0.7,270.66,106.84,107.38,13.95,0.38,2,5.62,1.93,2.85
2001,2,21,13.57,14.04,0,74.65,6.37,6.45,0.72,269.34,110.34,111.81,14.54,0.41,2.12,5.25,2.27,3.2
2001,2,22,13.65,14.73,0.04,74.49,6.02,6.34,0.67,277.95,105.1,110.32,13.96,0.4,2.07,5.74,1.2,1.88
2001,2,23,13.02,14.24,0.1,74.41,5.51,6.32,0.62,284.34,97.42,110.77,13.11,0.37,1.89,6.9,2.47,3.76
2001,2,24,11.91,12.2,0.84,74.47,4.26,6.4,0.48,307.94,77.86,114.12,10.74,0.31,1.58,7.26,2.14,2.99
2001,2,25,13.28,13.34,1.06,74.59,4.51,6.21,0.5,311.16,80.73,109.22,10.91,0.32,1.62,6.47,1.4,1.98
2001,2,26,12.08,11.9,0.82,74.65,4.4,6.45,0.48,316.21,80.84,115.94,11.3,0.33,1.68,6.96,1.12,1.64
2001,2,27,13.29,13.81,1.08,74.56,4.81,6.63,0.52,306.32,86.76,118.77,12.02,0.35,1.81,6.84,1.28,1.84
2001,2,28,14.33,14.79,0.23,74.47,5.62,6.79,0.61,293.88,101.57,122.3,13.93,0.41,2.13,6.23,1.2,1.84
2001,3,1,12.51,13.04,4.8,74.34,4.8,6.52,0.52,311.38,86.77,116.24,11.98,0.34,1.75,7.32,3.51,5
2001,3,2,8.83,9.23,1.07,74.15,2.9,6.83,0.31,313.45,55.83,125.12,8.31,0.25,1.24,7.32,6.41,8.92
2001,3,3,10.19,10.76,0.02,74.11,7.03,7.31,0.76,259.12,124.43,129.48,17.05,0.48,2.48,5.37,5.88,8.34
2001,3,4,10.94,10.94,0.02,74.5,7.45,7.48,0.8,243.46,130.49,131.38,17.8,0.5,2.59,3.3,2.09,3.19
2001,3,5,10.5,11.78,0.01,74.77,6.8,7.17,0.73,270.15,120.56,127.02,16.47,0.48,2.49,5.07,2.73,3.91
2001,3,6,12.23,13.19,0.01,74.73,6.5,7.17,0.7,280.69,116.67,128.49,16.09,0.47,2.44,5.25,1.61,2.34
2001,3,7,13.99,14.47,0,74.64,5.74,6.95,0.61,295.62,103.8,124.98,14.23,0.41,2.12,5,1.94,2.75
2001,3,8,13.66,14.1,0.12,74.52,6.86,7.2,0.73,273.7,123.8,130.23,16.88,0.48,2.52,4.46,3.66,5.45
2001,3,9,14.47,14.73,0.02,74.48,6.97,7.32,0.73,271.98,125.41,131.86,17.14,0.52,2.7,4.64,2.37,3.42
2001,3,10,13.54,14.33,0,74.41,7.25,7.39,0.76,262.94,130.02,132.64,17.81,0.53,2.81,5.07,3.15,4.62
2001,3,11,13.56,13.94,0,74.42,7.38,7.57,0.77,254.75,131.93,135.48,18.02,0.54,2.79,4.88,3.47,5.08
2001,3,12,15.91,15.45,0,74.49,7.57,7.58,0.79,259.84,135.52,135.88,18.48,0.55,2.91,3.54,1.75,2.59
2001,3,13,16.18,17.11,0,74.55,7.14,7.33,0.74,278.13,128.21,131.71,17.39,0.52,2.75,5.13,2.08,3.41
2001,3,14,14.98,15.03,0.01,74.44,7.39,7.44,0.77,267.2,133.16,134.08,18.06,0.55,2.92,5.49,4.03,5.73
2001,3,15,14.92,14.53,0,74.27,7.29,7.58,0.75,262.92,130.2,134.83,17.76,0.55,2.89,3.72,3.36,4.68
2001,3,16,13.98,14.26,0.01,74.3,7.58,7.67,0.77,262,136.21,137.75,18.59,0.57,3,4.09,2.84,4.1
2001,3,17,12.79,13.28,0.01,74.34,7.2,7.57,0.73,269.4,128.42,134.56,17.46,0.51,2.63,4.7,4.55,6.73
2001,3,18,12.92,12.91,0.24,74.37,7.25,7.78,0.73,261.54,128.87,137.7,17.67,0.52,2.7,3.42,2.67,3.78
2001,3,19,12.49,14.37,0.47,74.45,6.78,7.43,0.69,280.09,120.01,130.74,16.41,0.49,2.57,6.1,2.35,3.54
2001,3,20,12.06,13.95,0.1,74.61,6.29,7.31,0.63,288.98,112.98,130.03,15.55,0.48,2.46,5.68,1.64,2.28
2001,3,21,12.76,14.01,0,74.68,7.59,7.71,0.77,269.94,135.88,137.98,18.61,0.56,2.95,4.09,2.15,3.1
2001,3,22,13.67,13.96,0.03,74.57,7.44,7.63,0.75,273.71,133.36,136.59,18.27,0.54,2.84,3.3,2.5,3.55
2001,3,23,14.81,15.13,0.09,74.41,6.61,7.56,0.66,294.95,119.55,135.91,16.56,0.5,2.59,3.91,1.51,2.37
2001,3,24,14.73,16.08,0.61,74.42,5.99,7.65,0.6,302.7,109.82,138.77,15.3,0.47,2.44,6.23,2.02,3.13
2001,3,25,13.71,15.17,1.16,74.58,4.79,6.87,0.48,314.2,86.26,120.55,11.67,0.35,1.82,7.08,0.98,1.45
2001,3,26,13.53,15.11,0.28,74.59,5.28,7.02,0.52,307.77,95.86,124.3,12.89,0.39,2,7.69,1.87,2.73
2001,3,27,13.81,15.4,0,74.5,6.62,7.63,0.66,276.73,119.34,136.48,16.27,0.48,2.49,6.16,3.45,5.23
2001,3,28,12.16,13.04,0,74.35,7.6,7.87,0.75,266.26,137.07,141.6,18.79,0.56,2.93,5.19,4.77,7.05
2001,3,29,12.9,13.84,0,74.24,8.21,8.27,0.81,240.59,144.55,145.27,19.87,0.6,3.16,3.42,3.73,5.57
2001,3,30,13.64,14.05,0,74.33,8.25,8.35,0.81,232.89,143.66,145.21,19.77,0.59,3.05,2.01,3.85,5.66
2001,3,31,15.15,15.65,0,74.4,7.96,8.11,0.78,244.02,138.2,140.48,18.79,0.55,2.91,2.81,1.81,2.61
2001,4,1,14.99,16.06,0,74.45,7.78,7.84,0.76,256.05,136.92,137.72,18.45,0.55,2.87,4.09,2.57,3.7
2001,4,2,16.05,16.8,0,74.49,7.38,7.92,0.72,273.38,130.43,139.16,17.67,0.53,2.75,3.23,2.76,4.16
2001,4,3,18.27,18.77,0,74.63,6.56,7.87,0.64,300.21,118.2,140.02,16.3,0.51,2.63,3.66,1.24,1.83
2001,4,4,19.33,18.95,0,74.64,7.07,7.72,0.69,292.66,125.91,136.24,16.95,0.52,2.72,3.42,2.36,3.31
2001,4,5,17.73,17.65,0,74.65,7.36,7.59,0.71,279.92,129.32,132.8,17.16,0.49,-999,2.93,3.03,4.41
2001,4,6,16.21,17.4,0,74.63,7.17,8.12,0.7,294.65,128.18,143.66,17.69,0.54,2.77,3.72,1.89,2.94
2001,4,7,16.76,18.14,0,74.6,7.69,7.89,0.74,289.78,139.1,141.91,18.98,0.57,3.01,4.46,2.49,3.8
2001,4,8,16.85,18.27,0,74.58,7.63,7.8,0.73,288.79,137.88,140.16,18.68,0.55,2.93,5.13,1.34,2.03
2001,4,9,17.63,18.69,0,74.49,7.78,7.91,0.75,279.36,139.08,140.62,18.81,0.56,2.95,4.76,1.72,2.35
2001,4,10,17.62,19.15,0,74.36,7.99,8.08,0.77,275.59,144.01,144.77,19.65,0.59,3.12,4.88,1.96,2.92
2001,4,11,18.56,20.17,0,74.37,7.72,7.93,0.73,284.98,138.88,141.81,18.85,0.55,2.91,5.62,1.57,2.38
2001,4,12,19.73,21.14,0,74.5,7.53,7.78,0.72,302.9,136.29,139.89,18.45,0.55,2.9,6.65,1.15,1.62
2001,4,13,18.97,20.87,0.49,74.62,7.36,7.65,0.7,303.62,133.67,137.79,18.06,0.56,2.98,7.08,1.81,2.73
2001,4,14,17.16,19.19,0.05,74.61,6.07,7.63,0.58,312.06,111.31,138.02,15.2,0.47,2.46,8.61,1.35,2.01
2001,4,15,18.4,19.89,0,74.52,7.77,7.94,0.73,292.05,141.54,143.52,19.27,0.55,2.9,6.77,2.46,3.43
2001,4,16,17.36,19.23,0.1,74.62,7.77,7.88,0.73,289.05,139.84,141.05,19.01,0.55,2.9,5.8,2.7,3.79
2001,4,17,17.08,18.92,0.38,74.78,7.51,7.77,0.71,306.59,136.02,139.69,18.38,0.53,2.79,5.98,3.12,4.18
2001,4,18,15.31,17.55,1,74.89,6.27,7.9,0.59,326.47,116.56,143.95,16.28,0.49,2.56,7.51,3.05,3.79
2001,4,19,16.06,18.03,0.37,74.76,5.44,7.9,0.52,332.85,101.39,143.45,14.2,0.43,2.22,8.18,2.04,2.79
2001,4,20,16.79,19.03,2.86,74.73,5.63,7.84,0.53,331.66,104.3,141.91,14.59,0.45,2.3,8.36,1.46,2.11
2001,4,21,15.84,17.63,2.52,74.74,6.1,7.74,0.57,323.45,112.47,140.11,15.54,0.47,2.45,9.4,1.35,1.93
2001,4,22,16.4,17.96,1.39,74.69,5.11,7.82,0.48,326.91,95.44,141.69,13.13,0.39,2.03,8.18,1.9,2.88
2001,4,23,17.51,19.03,1.71,74.56,6.65,7.91,0.62,315.52,121.05,142.02,16.62,0.5,2.59,7.26,1.87,2.58
2001,4,24,15.12,16.75,5.33,74.67,4.08,7.42,0.38,338.97,76.38,132.52,10.34,0.3,1.57,9.03,3.05,4.12
